"File Name","Chapter","Title"
"guide.txt","All","Overall titles for the User Guide and chapters"
"copyright.txt","Preface","Copyright"
"preface-audience.txt","Preface","Audience and Goal"
"preface-organization.txt","Preface","Organization"
"preface-reporting.txt","Preface","Reporting Problems"
"preface-conventions.txt","Preface","Conventions of the Guide"
"preface-scenario.txt","Preface","Guiding Scenario"
"understanding-drupal.txt","Understanding Drupal","Concept: Drupal as a Content Management System"
"understanding-modules.txt","Understanding Drupal","Concept: Modules"
"understanding-themes.txt","Understanding Drupal","Concept: Themes"
"understanding-distributions.txt","Understanding Drupal","Concept: Distributions"
"understanding-data.txt","Understanding Drupal","Concept: Types of Data"
"understanding-project.txt","Understanding Drupal","Concept: The Drupal Project"
"understanding-gpl.txt","Understanding Drupal","Concept: Drupal Licensing"
"block-regions.txt","Planning your Site","Concept: Regions in a Theme"
"planning-layout.txt","Planning your Site","Planning your Site Layout"
"planning-data-types.txt","Planning your Site","Concept: Content Entities and Fields"
"planning-modular.txt","Planning your Site","Concept: Modular Content"
"planning-structure.txt","Planning your Site","Planning your Content Structure"
"planning-workflow.txt","Planning your Site","Concept: Editorial Workflow"
"language-concept.txt","Planning your Site","Concept: User Interface, Configuration, and Content Translation"
"install-requirements.txt","Installation","Concept: Server Requirements"
"install-tools.txt","Installation","Concept: Additional Tools"
"install-decide.txt","Installation","Concept: Methods for Downloading the Core Software"
"install-prepare.txt","Installation","Preparing to Install"
"install-composer.txt","Installation","Using Composer to Download Files"
"install-manual.txt","Installation","Downloading the Core Software Manually"
"install-run.txt","Installation","Running the Interactive Installer"
"config-overview.txt","Basic Site Configuration","Concept: Administrative Overview"
"config-basic.txt","Basic Site Configuration","Editing Basic Site Information"
"config-install.txt","Basic Site Configuration","Installing a Module"
"config-uninstall.txt","Basic Site Configuration","Uninstalling Unused Modules"
"config-user.txt","Basic Site Configuration","Configuring User Account Settings"
"config-theme.txt","Basic Site Configuration","Configuring the Theme"
"content-paths.txt","Basic Page Management","Concept: Paths, Aliases, and URLs"
"content-create.txt","Basic Page Management","Creating a Content Item"
"content-edit.txt","Basic Page Management","Editing a Content Item"
"content-in-place-edit.txt","Basic Page Management","Editing with the In-Place Editor"
"menu-home.txt","Basic Page Management","Designating a Front Page for your Site"
"menu-concept.txt","Basic Page Management","Concept: Menu"
"menu-link-from-content.txt","Basic Page Management","Adding a Page to the Navigation"
"menu-reorder.txt","Basic Page Management","Changing the Order of Navigation"
"structure-content-type.txt","Setting Up Content Structure","Adding a Content Type"
"structure-content-type-delete.txt","Setting Up Content Structure","Deleting a Content Type"
"structure-fields.txt","Setting Up Content Structure","Adding Basic Fields to a Content Type"
"structure-reference-fields.txt","Setting Up Content Structure","Concept: Reference Fields"
"structure-taxonomy.txt","Setting Up Content Structure","Concept: Taxonomy"
"structure-taxonomy-setup.txt","Setting Up Content Structure","Setting Up a Taxonomy"
"structure-adding-reference.txt","Setting Up Content Structure","Adding a Reference Field"
"structure-widgets.txt","Setting Up Content Structure","Concept: Forms and Widgets"
"structure-form-editing.txt","Setting Up Content Structure","Changing Content Entry Forms"
"structure-view-modes.txt","Setting Up Content Structure","Concept: View Modes and Formatters"
"structure-content-display.txt","Setting Up Content Structure","Changing Content Display"
"structure-image-styles.txt","Setting Up Content Structure","Concept: Image Styles"
"structure-image-style-create.txt","Setting Up Content Structure","Setting Up an Image Style"
"structure-image-responsive.txt","Setting Up Content Structure","Concept: Responsive Image Styles"
"structure-text-formats.txt","Setting Up Content Structure","Concept: Text Formats and Editors"
"structure-text-format-config.txt","Setting Up Content Structure","Configuring Text Formats and Editors"
"user-concept.txt","Managing User Accounts","Concept: Users, Roles, and Permissions"
